iter	Passed	Remaining
0	159	127460
1	208	83132
2	256	68175
3	309	61585
4	361	57527
5	415	54963
6	467	52986
7	519	51422
8	570	50145
9	624	49352
10	677	48560
11	725	47652
12	773	46828
13	819	46023
14	869	45496
15	921	45140
16	970	44709
17	1020	44318
18	1072	44076
19	1122	43761
20	1169	43376
21	1219	43128
22	1266	42789
23	1319	42650
24	1367	42407
25	1412	42041
26	1461	41856
27	1506	41527
28	1549	41195
29	1593	40893
30	1636	40585
31	1678	40274
32	1722	40025
33	1764	39753
34	1806	39480
35	1850	39276
36	1892	39033
37	1932	38760
38	1972	38496
39	2015	38289
40	2057	38084
41	2100	37908
42	2146	37788
43	2189	37620
44	2231	37437
45	2274	37275
46	2322	37215
47	2366	37077
48	2408	36912
49	2447	36712
50	2478	36398
51	2511	36127
52	2554	36002
53	2599	35916
54	2631	35648
55	2664	35401
56	2696	35154
57	2732	34959
58	2764	34724
59	2796	34484
60	2830	34296
61	2861	34063
62	2892	33836
63	2922	33607
64	2952	33389
65	2983	33176
66	3015	32992
67	3047	32808
68	3089	32733
69	3123	32573
70	3157	32417
71	3191	32266
72	3224	32115
73	3258	31972
74	3293	31834
75	3327	31701
76	3361	31560
77	3394	31419
78	3429	31298
79	3461	31153
80	3496	31037
81	3530	30913
82	3565	30800
83	3602	30702
84	3635	30580
85	3669	30469
86	3705	30371
87	3740	30267
88	3774	30152
89	3807	30034
90	3840	29925
91	3872	29798
92	3905	29687
93	3936	29566
94	3972	29477
95	4005	29374
96	4038	29265
97	4071	29163
98	4105	29068
99	4142	28996
100	4177	28914
101	4212	28827
102	4246	28734
103	4282	28662
104	4318	28585
105	4355	28515
106	4412	28578
107	4457	28563
108	4494	28495
109	4534	28444
110	4574	28392
111	4608	28310
112	4641	28216
113	4674	28128
114	4709	28051
115	4751	28017
116	4792	27974
117	4827	27902
118	4870	27870
119	4905	27798
120	4941	27728
121	4980	27675
122	5028	27675
123	5071	27647
124	5108	27584
125	5143	27514
126	5177	27438
127	5211	27360
128	5244	27278
129	5282	27222
130	5323	27188
131	5369	27172
132	5416	27165
133	5456	27119
134	5491	27048
135	5524	26970
136	5558	26902
137	5593	26830
138	5626	26756
139	5661	26690
140	5695	26619
141	5732	26563
142	5765	26488
143	5797	26409
144	5827	26326
145	5861	26255
146	5893	26179
147	5926	26109
148	5959	26038
149	6001	26008
150	6046	25987
151	6085	25942
152	6134	25942
153	6178	25917
154	6219	25882
155	6263	25855
156	6303	25816
157	6359	25838
158	6413	25856
159	6461	25847
160	6505	25819
161	6549	25793
162	6587	25745
163	6625	25695
164	6662	25639
165	6697	25578
166	6733	25521
167	6765	25452
168	6804	25407
169	6841	25352
170	6913	25429
171	6950	25378
172	6990	25334
173	7038	25323
174	7074	25267
175	7111	25213
176	7149	25165
177	7186	25112
178	7222	25057
179	7257	24998
180	7298	24961
181	7335	24907
182	7374	24864
183	7411	24812
184	7453	24776
185	7497	24750
186	7541	24720
187	7581	24681
188	7618	24629
189	7652	24569
190	7687	24510
191	7724	24460
192	7759	24403
193	7793	24343
194	7824	24276
195	7856	24209
196	7896	24171
197	7933	24121
198	7971	24075
199	8014	24044
200	8061	24024
201	8103	23989
202	8139	23938
203	8180	23900
204	8216	23847
205	8250	23789
206	8285	23734
207	8322	23686
208	8358	23634
209	8398	23594
210	8438	23554
211	8480	23520
212	8518	23474
213	8558	23434
214	8599	23397
215	8635	23348
216	8675	23306
217	8716	23270
218	8754	23225
219	8791	23178
220	8831	23137
221	8871	23098
222	8911	23057
223	8952	23019
224	8993	22984
225	9034	22947
226	9073	22902
227	9112	22862
228	9153	22824
229	9191	22779
230	9229	22733
231	9267	22689
232	9310	22656
233	9352	22622
234	9393	22583
235	9431	22539
236	9469	22494
237	9508	22453
238	9546	22409
239	9590	22376
240	9630	22337
241	9669	22295
242	9712	22262
243	9745	22206
244	9778	22150
245	9814	22102
246	9850	22054
247	9884	22001
248	9916	21943
249	9948	21887
250	9982	21833
251	10019	21787
252	10052	21734
253	10089	21688
254	10125	21641
255	10159	21589
256	10193	21537
257	10226	21484
258	10260	21431
259	10294	21381
260	10328	21330
261	10362	21277
262	10395	21226
263	10426	21168
264	10461	21121
265	10493	21066
266	10527	21015
267	10561	20964
268	10598	20921
269	10633	20872
270	10667	20823
271	10711	20792
272	10743	20739
273	10776	20686
274	10806	20630
275	10838	20576
276	10870	20525
277	10904	20474
278	10936	20423
279	10969	20372
280	11006	20327
281	11039	20277
282	11072	20227
283	11105	20177
284	11141	20132
285	11172	20079
286	11206	20031
287	11243	19988
288	11281	19947
289	11315	19900
290	11350	19853
291	11383	19804
292	11418	19757
293	11451	19709
294	11484	19660
295	11517	19610
296	11553	19566
297	11586	19518
298	11619	19470
299	11652	19420
300	11684	19371
301	11717	19322
302	11751	19275
303	11786	19231
304	11829	19198
305	11867	19158
306	11905	19117
307	11939	19071
308	11975	19029
309	12016	18993
310	12055	18954
311	12092	18913
312	12132	18877
313	12177	18847
314	12237	18841
315	12283	18813
316	12332	18790
317	12372	18753
318	12408	18710
319	12446	18670
320	12484	18629
321	12521	18587
322	12558	18546
323	12595	18504
324	12632	18463
325	12668	18419
326	12702	18374
327	12734	18325
328	12768	18279
329	12802	18233
330	12836	18187
331	12868	18139
332	12901	18092
333	12932	18043
334	12963	17994
335	12996	17946
336	13029	17901
337	13063	17855
338	13097	17811
339	13130	17764
340	13163	17718
341	13198	17675
342	13230	17627
343	13264	17583
344	13296	17536
345	13331	17492
346	13365	17448
347	13396	17400
348	13428	17353
349	13461	17307
350	13492	17259
351	13525	17214
352	13557	17168
353	13590	17122
354	13624	17078
355	13657	17032
356	13690	16988
357	13721	16941
358	13754	16895
359	13784	16848
360	13816	16802
361	13847	16754
362	13879	16708
363	13911	16662
364	13940	16614
365	13971	16567
366	14003	16521
367	14037	16478
368	14068	16432
369	14103	16390
370	14135	16345
371	14169	16302
372	14202	16258
373	14234	16214
374	14266	16168
375	14298	16124
376	14333	16082
377	14364	16036
378	14395	15991
379	14427	15945
380	14458	15900
381	14492	15857
382	14540	15831
383	14573	15788
384	14609	15748
385	14644	15706
386	14677	15663
387	14709	15619
388	14740	15574
389	14770	15528
390	14801	15483
391	14833	15438
392	14862	15391
393	14894	15347
394	14923	15301
395	14953	15255
396	14986	15212
397	15018	15169
398	15052	15127
399	15083	15083
400	15117	15041
401	15151	15001
402	15183	14957
403	15217	14915
404	15248	14871
405	15280	14829
406	15314	14787
407	15347	14745
408	15380	14703
409	15411	14660
410	15443	14617
411	15477	14575
412	15510	14533
413	15543	14492
414	15574	14448
415	15619	14418
416	15651	14375
417	15683	14332
418	15714	14288
419	15744	14245
420	15777	14203
421	15806	14158
422	15837	14115
423	15870	14073
424	15901	14030
425	15931	13986
426	15964	13945
427	15998	13905
428	16031	13864
429	16063	13822
430	16095	13779
431	16127	13738
432	16157	13694
433	16190	13653
434	16222	13611
435	16254	13569
436	16284	13527
437	16317	13486
438	16348	13444
439	16379	13401
440	16409	13358
441	16440	13315
442	16474	13276
443	16505	13234
444	16537	13192
445	16569	13151
446	16602	13111
447	16634	13069
448	16664	13026
449	16695	12985
450	16725	12942
451	16759	12903
452	16790	12861
453	16822	12820
454	16857	12782
455	16890	12742
456	16923	12701
457	16958	12663
458	16992	12623
459	17023	12582
460	17057	12543
461	17089	12502
462	17122	12462
463	17153	12421
464	17186	12381
465	17219	12341
466	17251	12301
467	17282	12260
468	17315	12220
469	17347	12179
470	17379	12140
471	17409	12098
472	17441	12057
473	17473	12017
474	17505	11977
475	17538	11938
476	17570	11897
477	17606	11860
478	17639	11821
479	17673	11782
480	17705	11742
481	17738	11703
482	17778	11668
483	17813	11630
484	17846	11590
485	17879	11551
486	17913	11513
487	17948	11475
488	17984	11437
489	18022	11401
490	18061	11366
491	18100	11331
492	18141	11296
493	18176	11259
494	18216	11224
495	18257	11190
496	18291	11151
497	18325	11113
498	18362	11076
499	18398	11039
500	18431	10999
501	18468	10963
502	18510	10929
503	18553	10896
504	18591	10860
505	18626	10822
506	18658	10782
507	18689	10742
508	18719	10701
509	18750	10662
510	18781	10621
511	18812	10581
512	18843	10541
513	18872	10500
514	18902	10460
515	18931	10419
516	18962	10380
517	18993	10340
518	19026	10301
519	19067	10267
520	19106	10231
521	19144	10195
522	19176	10156
523	19206	10116
524	19238	10077
525	19270	10038
526	19301	9998
527	19334	9960
528	19365	9920
529	19399	9882
530	19430	9843
531	19464	9805
532	19502	9769
533	19536	9731
534	19570	9693
535	19607	9657
536	19641	9619
537	19678	9583
538	19712	9545
539	19748	9508
540	19784	9471
541	19819	9434
542	19854	9396
543	19891	9360
544	19928	9324
545	19960	9285
546	19992	9246
547	20024	9208
548	20056	9169
549	20089	9131
550	20121	9092
551	20154	9055
552	20189	9017
553	20223	8980
554	20255	8941
555	20288	8903
556	20322	8866
557	20353	8827
558	20393	8792
559	20425	8753
560	20458	8715
561	20489	8677
562	20520	8638
563	20551	8599
564	20582	8560
565	20615	8523
566	20646	8484
567	20679	8446
568	20709	8407
569	20739	8368
570	20769	8329
571	20799	8290
572	20829	8252
573	20860	8213
574	20893	8175
575	20925	8137
576	20957	8099
577	20989	8061
